# wave A(l)/A(V) unc
1.9609138369560242e-01 2.8140145441317128e+00 7.3670379131681618e-02
1.9648420810699463e-01 2.8153339457220574e+00 7.3599252200430343e-02
1.9687780737876892e-01 2.8141062370625334e+00 7.2672332360093322e-02
1.9727219641208649e-01 2.8192250006773421e+00 7.3151476127637768e-02
1.9766737520694733e-01 2.8214697087527867e+00 7.2657157403009029e-02
1.9806334376335144e-01 2.8248074450742049e+00 7.2762145856422988e-02
1.9846011698246002e-01 2.7938850909106079e+00 7.9952176363961083e-02
1.9885766506195068e-01 2.8591750259465902e+00 7.5449672150075919e-02
1.9925603270530701e-01 2.8238051954510373e+00 8.2024233347534586e-02
1.9965517520904541e-01 2.8781600879821490e+00 7.6900532099627911e-02
2.0005513727664948e-01 2.8376769793273509e+00 8.0673858110279717e-02
2.0045588910579681e-01 2.8930789421431080e+00 7.5435491604047430e-02
2.0085744559764862e-01 2.8369764412668159e+00 7.9485367526850814e-02
2.0125980675220490e-01 2.9230256693856331e+00 7.7484127438356393e-02
2.0166297256946564e-01 2.8976177771863432e+00 8.3052655700444525e-02
2.0206695795059204e-01 2.9188049836701273e+00 7.7211059177819938e-02
2.0247173309326172e-01 2.8587370911302403e+00 7.9894028581928428e-02
2.0287732779979706e-01 2.8738262894274711e+00 7.3872649583541006e-02
2.0328374207019806e-01 2.9233302100505165e+00 8.0581033292890555e-02
2.0369096100330353e-01 2.9527008076884731e+00 9.7897444049457660e-02
2.0409899950027466e-01 2.9622501627994677e+00 7.9672586912814314e-02
2.0450785756111145e-01 2.9628078529378601e+00 7.8571665948626149e-02
2.0491753518581390e-01 2.9667716925862595e+00 8.0834106081381682e-02
2.0532803237438202e-01 2.9494445106412259e+00 8.0159408328231471e-02
2.0573934912681580e-01 2.9722891679741816e+00 8.1523331332474330e-02
2.0615148544311523e-01 3.0060382828960952e+00 8.2107572988590879e-02
2.0656445622444153e-01 3.0235269432998377e+00 7.9706287664291664e-02
2.0697824656963348e-01 2.9773251918579202e+00 8.4986785728098341e-02
2.0739287137985229e-01 3.0263241679587729e+00 7.9007393922069777e-02
2.0780833065509796e-01 3.0054565234907669e+00 8.2303109217209902e-02
2.0822460949420929e-01 3.0269518249051215e+00 8.1553040019396839e-02
2.0864173769950867e-01 3.0340879620178050e+00 8.2193334684901143e-02
2.0905968546867371e-01 3.0609101696858221e+00 8.4467117571252748e-02
2.0947848260402679e-01 3.0744200726459114e+00 8.3494614150987495e-02
2.0989811420440674e-01 3.1032333315347089e+00 8.4458413341502017e-02
2.1031859517097473e-01 3.0626280615862940e+00 8.7768210566293192e-02
