# wave A(l)/A(V) unc
4.61145e-01 1.36618e+00 6.83092e-02
4.63292e-01 1.35932e+00 6.79660e-02
4.65448e-01 1.35264e+00 6.76318e-02
4.67614e-01 1.34708e+00 6.73540e-02
4.69790e-01 1.34150e+00 6.70749e-02
4.71977e-01 1.33589e+00 6.67944e-02
4.74174e-01 1.33025e+00 6.65127e-02
4.76381e-01 1.32455e+00 6.62277e-02
4.78598e-01 1.31845e+00 6.59223e-02
4.80825e-01 1.31231e+00 6.56154e-02
4.83063e-01 1.30614e+00 6.53071e-02
4.85311e-01 1.29995e+00 6.49974e-02
4.87570e-01 1.29372e+00 6.46861e-02
4.89839e-01 1.28480e+00 6.42399e-02
4.92119e-01 1.27552e+00 6.37760e-02
4.94409e-01 1.26620e+00 6.33101e-02
4.96710e-01 1.25684e+00 6.28419e-02
4.99022e-01 1.24743e+00 6.23716e-02
5.01345e-01 1.23896e+00 6.19482e-02
5.03678e-01 1.23118e+00 6.15588e-02
5.06022e-01 1.22335e+00 6.11676e-02
5.08377e-01 1.21549e+00 6.07746e-02
5.10743e-01 1.20759e+00 6.03797e-02
5.13120e-01 1.19961e+00 5.99807e-02
5.15509e-01 1.19128e+00 5.95640e-02
5.17908e-01 1.18291e+00 5.91453e-02
5.20318e-01 1.17449e+00 5.87246e-02
5.22740e-01 1.16604e+00 5.83018e-02
5.25173e-01 1.15755e+00 5.78773e-02
5.27617e-01 1.14974e+00 5.74870e-02
5.30073e-01 1.14254e+00 5.71270e-02
5.32540e-01 1.13530e+00 5.67652e-02
5.35018e-01 1.12804e+00 5.64019e-02
5.37508e-01 1.12074e+00 5.60368e-02
5.40010e-01 1.11340e+00 5.56699e-02
5.42523e-01 1.10645e+00 5.53225e-02
5.45048e-01 1.09958e+00 5.49789e-02
5.47585e-01 1.09267e+00 5.46337e-02
5.50134e-01 1.08561e+00 5.42804e-02
5.52694e-01 1.07898e+00 5.39492e-02
5.55266e-01 1.07237e+00 5.36187e-02
5.57851e-01 1.06578e+00 5.32889e-02
5.60447e-01 1.05920e+00 5.29599e-02
5.63055e-01 1.05263e+00 5.26315e-02
5.65676e-01 1.04608e+00 5.23038e-02
5.68309e-01 1.03954e+00 5.19770e-02
5.70954e-01 1.03302e+00 5.16508e-02
5.73611e-01 1.02651e+00 5.13257e-02
5.76281e-01 1.02002e+00 5.10012e-02
